50;No gesture;0
70;No gesture;0
161;No gesture;0
220;No gesture;0
314;No gesture;0
385;No gesture;0
407;No gesture;0
456;No gesture;0
492;No gesture;0
504;No gesture;0
669;No gesture;0
852;No gesture;0
897;No gesture;0
936;No gesture;0
952;No gesture;0
1208;No gesture;0
1274;No gesture;0
1282;No gesture;0
1285;No gesture;0
1326;No gesture;0
1383;No gesture;0
1393;No gesture;0
1460;No gesture;0
1501;No gesture;0
1765;No gesture;0
1904;No gesture;0
1940;No gesture;0
1944;No gesture;0
2066;No gesture;0
2144;No gesture;0
2259;No gesture;0
2301;No gesture;0
2729;No gesture;0
2790;No gesture;0
2793;No gesture;0
2850;No gesture;0
2923;No gesture;0
2980;No gesture;0
3197;No gesture;0
3239;No gesture;0
3442;No gesture;0
3559;No gesture;0
3725;No gesture;0
3814;No gesture;0
3822;No gesture;0
3823;No gesture;0
3935;No gesture;0
3988;No gesture;0
4066;No gesture;0
4131;No gesture;0
4156;No gesture;0
4290;No gesture;0
4346;No gesture;0
4433;No gesture;0
4441;No gesture;0
4720;No gesture;0
4733;No gesture;0
4737;No gesture;0
4740;No gesture;0
4900;No gesture;0
4911;No gesture;0
4929;No gesture;0
4947;No gesture;0
5031;No gesture;0
5056;No gesture;0
5199;No gesture;0
5216;No gesture;0
5391;No gesture;0
5426;No gesture;0
5463;No gesture;0
5644;No gesture;0
5649;No gesture;0
5736;No gesture;0
5806;No gesture;0
5836;No gesture;0
5839;No gesture;0
5840;No gesture;0
5869;No gesture;0
5902;No gesture;0
5905;No gesture;0
5947;No gesture;0
6023;No gesture;0
6103;No gesture;0
6155;No gesture;0
6211;No gesture;0
6259;No gesture;0
6295;No gesture;0
6382;No gesture;0
6451;No gesture;0
6466;No gesture;0
6546;No gesture;0
6643;No gesture;0
6700;No gesture;0
6752;No gesture;0
6930;No gesture;0
7025;No gesture;0
7063;No gesture;0
7094;No gesture;0
7124;No gesture;0
7294;No gesture;0
7394;No gesture;0
7403;No gesture;0
7559;No gesture;0
7562;No gesture;0
7982;No gesture;0
8007;No gesture;0
8050;No gesture;0
8137;No gesture;0
8227;No gesture;0
8252;No gesture;0
8255;No gesture;0
8398;No gesture;0
8505;No gesture;0
8687;No gesture;0
8891;No gesture;0
9066;No gesture;0
9104;No gesture;0
9265;No gesture;0
9266;No gesture;0
9285;No gesture;0
9415;No gesture;0
9456;No gesture;0
9588;No gesture;0
9709;No gesture;0
9822;No gesture;0
9847;No gesture;0
9906;No gesture;0
9924;No gesture;0
9939;No gesture;0
10038;No gesture;0
10085;No gesture;0
10107;No gesture;0
10280;No gesture;0
10372;No gesture;0
10433;No gesture;0
10569;No gesture;0
10578;No gesture;0
10587;No gesture;0
10696;No gesture;0
10780;No gesture;0
10913;No gesture;0
10956;No gesture;0
10959;No gesture;0
10968;No gesture;0
11006;No gesture;0
11097;No gesture;0
11110;No gesture;0
11193;No gesture;0
11250;No gesture;0
11311;No gesture;0
11346;No gesture;0
11787;No gesture;0
11842;No gesture;0
11873;No gesture;0
11874;No gesture;0
12018;No gesture;0
12048;No gesture;0
12055;No gesture;0
12607;No gesture;0
12609;No gesture;0
12740;No gesture;0
12769;No gesture;0
12783;No gesture;0
12821;No gesture;0
12845;No gesture;0
12864;No gesture;0
12938;No gesture;0
12940;No gesture;0
13143;No gesture;0
13249;No gesture;0
13353;No gesture;0
13371;No gesture;0
13375;No gesture;0
13422;No gesture;0
13485;No gesture;0
13521;No gesture;0
13608;No gesture;0
13628;No gesture;0
13642;No gesture;0
13743;No gesture;0
13870;No gesture;0
13927;No gesture;0
14030;No gesture;0
14139;No gesture;0
14147;No gesture;0
14155;No gesture;0
14156;No gesture;0
14299;No gesture;0
14360;No gesture;0
14525;No gesture;0
14539;No gesture;0
14572;No gesture;0
14698;No gesture;0
14814;No gesture;0
15081;No gesture;0
15095;No gesture;0
15165;No gesture;0
15376;No gesture;0
15488;No gesture;0
15607;No gesture;0
15615;No gesture;0
15647;No gesture;0
15696;No gesture;0
15849;No gesture;0
15878;No gesture;0
15988;No gesture;0
16132;No gesture;0
16141;No gesture;0
16182;No gesture;0
16339;No gesture;0
16384;No gesture;0
16462;No gesture;0
16704;No gesture;0
16817;No gesture;0
16848;No gesture;0
16851;No gesture;0
16856;No gesture;0
16858;No gesture;0
16897;No gesture;0
17034;No gesture;0
17105;No gesture;0
17233;No gesture;0
17278;No gesture;0
17324;No gesture;0
17386;No gesture;0
17391;No gesture;0
17475;No gesture;0
17521;No gesture;0
17669;No gesture;0
17731;No gesture;0
17748;No gesture;0
17870;No gesture;0
17971;No gesture;0
18101;No gesture;0
18114;No gesture;0
18205;No gesture;0
18241;No gesture;0
18607;No gesture;0
18682;No gesture;0
18690;No gesture;0
18706;No gesture;0
18771;No gesture;0
18775;No gesture;0
18798;No gesture;0
19030;No gesture;0
19036;No gesture;0
19065;No gesture;0
19136;No gesture;0
19312;No gesture;0
19504;No gesture;0
19511;No gesture;0
19535;No gesture;0
19540;No gesture;0
19642;No gesture;0
19665;No gesture;0
19667;No gesture;0
19695;No gesture;0
19742;No gesture;0
19796;No gesture;0
19894;No gesture;0
19896;No gesture;0
19926;No gesture;0
20016;No gesture;0
20026;No gesture;0
20051;No gesture;0
20323;No gesture;0
20329;No gesture;0
20387;No gesture;0
20466;No gesture;0
20586;No gesture;0
20628;No gesture;0
20745;No gesture;0
20768;No gesture;0
20779;No gesture;0
20934;No gesture;0
21015;No gesture;0
21083;No gesture;0
21141;No gesture;0
21168;No gesture;0
21176;No gesture;0
21279;No gesture;0
21401;No gesture;0
21408;No gesture;0
21511;No gesture;0
21552;No gesture;0
21624;No gesture;0
21651;No gesture;0
21739;No gesture;0
21783;No gesture;0
21877;No gesture;0
21953;No gesture;0
21978;No gesture;0
21986;No gesture;0
22111;No gesture;0
22115;No gesture;0
22153;No gesture;0
22295;No gesture;0
22297;No gesture;0
22421;No gesture;0
22471;No gesture;0
22559;No gesture;0
22596;No gesture;0
22619;No gesture;0
22687;No gesture;0
22724;No gesture;0
22799;No gesture;0
22837;No gesture;0
22968;No gesture;0
23016;No gesture;0
23408;No gesture;0
23432;No gesture;0
23468;No gesture;0
23476;No gesture;0
23581;No gesture;0
23583;No gesture;0
23610;No gesture;0
23631;No gesture;0
23745;No gesture;0
23748;No gesture;0
23789;No gesture;0
23825;No gesture;0
23972;No gesture;0
23983;No gesture;0
24070;No gesture;0
24078;No gesture;0
24167;No gesture;0
24228;No gesture;0
24255;No gesture;0
24346;No gesture;0
24443;No gesture;0
24544;No gesture;0
24569;No gesture;0
24663;No gesture;0
24684;No gesture;0
24699;No gesture;0
24734;No gesture;0
24862;No gesture;0
24907;No gesture;0
25106;No gesture;0
25144;No gesture;0
25149;No gesture;0
25207;No gesture;0
25226;No gesture;0
25282;No gesture;0
25428;No gesture;0
25435;No gesture;0
25478;No gesture;0
25491;No gesture;0
25619;No gesture;0
25636;No gesture;0
25640;No gesture;0
25696;No gesture;0
25777;No gesture;0
25808;No gesture;0
25989;No gesture;0
25996;No gesture;0
26003;No gesture;0
26057;No gesture;0
26214;No gesture;0
26238;No gesture;0
26283;No gesture;0
26388;No gesture;0
26417;No gesture;0
26644;No gesture;0
26698;No gesture;0
26756;No gesture;0
26778;No gesture;0
26796;No gesture;0
26797;No gesture;0
26945;No gesture;0
27076;No gesture;0
27085;No gesture;0
27132;No gesture;0
27252;No gesture;0
27329;No gesture;0
27511;No gesture;0
27563;No gesture;0
27567;No gesture;0
27612;No gesture;0
27641;No gesture;0
27750;No gesture;0
27770;No gesture;0
27841;No gesture;0
27931;No gesture;0
28130;No gesture;0
28197;No gesture;0
28240;No gesture;0
28361;No gesture;0
28469;No gesture;0
28533;No gesture;0
28710;No gesture;0
28859;No gesture;0
28883;No gesture;0
28927;No gesture;0
29033;No gesture;0
29037;No gesture;0
29175;No gesture;0
29211;No gesture;0
29297;No gesture;0
29303;No gesture;0
29363;No gesture;0
29378;No gesture;0
29425;No gesture;0
29461;No gesture;0
29510;No gesture;0
29523;No gesture;0
29538;No gesture;0
29756;No gesture;0
29806;No gesture;0
29810;No gesture;0
29902;No gesture;0
29931;No gesture;0
30016;No gesture;0
30089;No gesture;0
30117;No gesture;0
30252;No gesture;0
30307;No gesture;0
30367;No gesture;0
30434;No gesture;0
30495;No gesture;0
30551;No gesture;0
30677;No gesture;0
30690;No gesture;0
30842;No gesture;0
30880;No gesture;0
30995;No gesture;0
31059;No gesture;0
31125;No gesture;0
31146;No gesture;0
31238;No gesture;0
31368;No gesture;0
